"target_id","comparator_id","outcome_id","analysis_id","rr","ci_95_lb","ci_95_ub","p","i_2","log_rr","se_log_rr","target_subjects","comparator_subjects","target_days","comparator_days","target_outcomes","comparator_outcomes","calibrated_p","calibrated_rr","calibrated_ci_95_lb","calibrated_ci_95_ub","calibrated_log_rr","calibrated_se_log_rr","database_id"
763,680,661,1,1.15200987077415,0.640878763779854,1.94875591570029,0.617930975314429,NA,0.141508130617332,0.283705762405481,398,2365,26189,156748,16,80,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,681,1,1.06924316740617,0.0535967223677318,7.58958514329474,0.957742837484349,NA,0.0669510780237288,1.26355492582673,398,2363,26156,156374,1,4,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,662,1,1.29847671520435,0.550234310362682,2.72394691963435,0.522100408602662,NA,0.261191819887759,0.408041419935388,394,2350,25891,154920,8,32,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,663,1,1.40164978799674,0.589610315712079,2.97347624868201,0.413350500346493,NA,0.337649962827041,0.412769106313234,396,2355,25991,155277,8,29,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,4002650,1,NA,NA,NA,NA,NA,NA,NA,398,2365,26189,156748,0,0,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,661,2,1.19999948015519,0.676848585894775,1.99498632562795,0.508504873400612,NA,0.182321123589855,0.275756312391455,398,2365,26189,156748,16,80,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,662,2,1.49984913366436,0.643291577289174,3.09609246390579,0.311889291813133,NA,0.405364525492806,0.400848695921013,394,2350,25891,154920,8,32,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,663,2,1.65105599184729,0.703826976221373,3.44341057347583,0.215726156602392,NA,0.501415078261955,0.405029164814449,396,2355,25991,155277,8,29,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,681,2,1.50186427092576,0.0768271386238853,10.1499174639104,0.744085290414745,NA,0.406707183696654,1.24585526726297,398,2363,26156,156374,1,4,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,4002650,2,NA,NA,NA,NA,NA,NA,NA,398,2365,26189,156748,0,0,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,661,3,1.33333333333333,0.633854877940182,2.88238603212478,0.45653100465058,NA,0.287682072451781,0.386372835511902,397,397,26111,26774,16,12,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,663,3,1.6,0.533861859214025,5.29564238734306,0.422001209998039,NA,0.470003629245735,0.585343014847105,395,395,25913,26537,8,5,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,681,3,0.5,0.0232506762115225,5.21821509199614,0.615736177392469,NA,-0.693147180559945,1.3810397825492,397,397,26078,26632,1,2,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,662,3,1.6,0.533861859214025,5.29564238734306,0.422001209998039,NA,0.470003629245735,0.585343014847105,393,393,25813,26316,8,5,NA,NA,NA,NA,NA,NA,"HIRA"
763,680,4002650,3,NA,NA,NA,NA,NA,NA,NA,397,397,26111,26774,0,0,NA,NA,NA,NA,NA,NA,"HIRA"
